Date,Patrol Time ,Steward name,High Temperature,Weather,Number of observed gorge users,Number of observed violations,Number of person interactions: Alternatives,Number of person interactions: Warnings,Number of person interactions: Directions,Total number of person interactions (Daily),Number of contacts to CUPD,Number of People above Ithaca Falls?,Description of Interactions,Description of notable events
7/12/2021,11-3pm; 3-7pm,"Emily, Euna",78,"Grey and cloudy, humid; humid and a little rainy but some sun",51,0,,,,,0,0,No violations; Talked to a woman who was walking her dog; a guy asked when Cascadilla will be open again,The water is moving SUPER fast after all those storms -- highest I've ever seen any of the gorges/falls
7/13/2021,"11-3:30, 4-7",Audrey,86,"Humid, clouds and some sun",61,0,,,,0,0,0,"no violations. Gave some directions, lunch recommendations ",Uneventful
7/14/2021,"11am-4pm, 4:30pm-7pm",Hannah,75,Humid and rainy,12,0,,,,,0,0,No violations today.,"Very slow and quiet day, the water was really high so there wasn't much space for people to get down into the gorge. "
7/15/2021,"11am-3pm, 3pm-7pm","Audrey, Hannah",89,"Sun, a few clouds",80,0,,,,0,0,0,No violations. Chatted with a couple I've seen every shift this week. ,So many moths today.
7/16/2021,"11-3pm, 3-7pm","Euna, Hannah",76,overcast but not too hot ,44,0,,,,,0,0,No violations. ,"^ Lots of butterflies and lots of visitors on campus, but not many in the gorges/on trails"
7/17/2020,"11-3pm, 11-4:30","Euna, Audrey",77,"rain, cloudy, rain",62,0,,,,0,0,0,no violations ,"Left for lunch as the heavy thunderstorms rolled in, ended up heading for home since the rain continued through the rest of the shift"
7/18/2020,"11-3pm, 11-7pm","Emily, Hannah",69,"cloudy, grey",58,0,,,,,0,0,Helped a family locate the engineering quad,Most people seem to be in and around Beebe lake; water in the gorges was really high
7/19/2021,11-3pm; 3 -7PM,"Hannah, Phillip",81,Hot and humid,41,0,,,,0,0,0,No violations; no violations,Nothing notable; 2 women showed me a really cool millipede on upper cascadilla trail
7/20/2021,11-7,Hannah,78,"Sunny but not too hot, stormed in the evening.",28,0,,,,,0,0,No violations.,Nothing notable.
7/21/2021,11-5; 3-7,Audrey;Phillip,72,"Clouds, cool breeze",81,0,,,,,0,0,No violations. Gave several families directions.; Weather was a bit too cold for the violators today,Two snakes! ; So many people
7/22/2021,11-3; 3-7,Euna; Emily,79,sunny!,65,0,,,,,0,0,No violations today; helped a man on a bike find the arboretum,"Nothing notable, gorgeous day"
7/23/2021,11-3,Hannah,77,Humid but overcast,32,0,,,,,0,0,No violations today.,Nothing notable.
7/24/2021,11-7,Hannah,80,Hot and humid,52,1,,,,,0,0,No violations today.,"Saw three little otter looking creatures below the Thurston ave bridge. A girl hopped the fence in my presence below Horseshoe falls, not sure if that counts as a full violation. "
7/25/2021,"11-3pm, 11-7pm",Euna; Phillip,82,Too Hot!,130,6,,,,,0,0,2 friends swimming in hemlock gorge area (on 2 separate occasions); 2 people laying on the ground near water below suspension bridge. Explained to a family that Cascadilla was still closed,Very hot day; lots of people; a good day to be alive!
7/26/2021,11am-7pm,Hannah,83,Hot,74,2,,,,,0,0,"2 people drinking at Hemlock gorge, guy asked me what hours we patrol. I hit him with ""we've always got an eye out""",Saw a dead snake :(
7/27/2021,"11am-3pm, 3-7","Emily, Hannah",90,"Hot and sunny, then stormy",47,0,,,,,0,0,No violations today,Saw the great blue heron at Beebe!!
7/28/2021,11-7,Audrey,78,Sunshine,98,2,,,,,0,0,Two people and an unleashed dog under the Thurston Ave. bridge,Near marker BT-114 there is a dead animal (groundhog?) floating next to shore... saw him last week but couldn't tell if it was a rock/something that is always there. Now it's decaying and smelly.
7/29/2021,11-7,Hannah,75,cloudy and a bit windy,52,0,,,,,0,0,Unleashed dog at Beebe lake,Nothing notable.
7/30/2021,11-3,Audrey,67,"Mostly cloudy, patches of sun",67,0,,,,,0,0,No violations. Gave directions to a few families.,
7/31/2021,11-3; 3-7,"Emily; Phillip, Hannah",72,Sunny and Beautiful. ,157,0,,,,,0,0,"Showed a family a deer and her fawn in Risley Gorge, they asked about hunting on campus; Helped a family take a picture on the stone bridge",Most people I have seen at the gorges so far this summer!
8/1/2021,11-7,Phillip,70,Beautify then heavy rain throughout the day,61,0,,,,,0,0,No violations. Helped a family find Beebe Lake from the cascadilla gorge,Such a great day and then rainy nd colder and not so great :(. 
8/2/2021,11-3;,Audrey,76,Sunny,76,0,,,,,0,0,no violations. Helped a few families with directions,"Saw the mink again, on land, close to the coe canoes."
8/3/2021,3-7,Phillip,78,sunny,70,1,,,,,0,0,"Saw one person swimming in lower cascadilla, asked them to leave and they did",
8/4/2021,"11-3, 3-7","Audrey, Phillip",79,Sunny,98,0,,,,,0,0,No violations today,Dead animal on trail at marker B-114- Botanic Gardens heroes swooped in to save the day. Very beautiful day outside. I am excited for them to finish paving the road in front of Risley Hall!
8/5/2021,11-3,Audrey,,Sunny,64,4,,,,,0,0,"2 people on bikes on Beebe trails. They thought they were on the Botanic Gardens' biking trails (is that a thing?), one person in an awesome camp chair perched on a little ledge below the stone bridge, one person with a dog off-leash",Lots of really chatty folks out sightseeing today. It was fun talking with them. :)
8/6/2021,"11-3, 3/7/2021","Phillip, Hannah",81,sunny,96,0,,,,,0,0,No violations today,Saw a deer near Mann Library while I was on the Beebe Lake trail!
8/7/2021,11-7,Hannah,81,Sunny and hot,71,0,,,,,0,0,No violations today,
8/8/2021,11-7,Hannah,81,sunny,92,0,,,,,0,0,No violations today,
8/9/2021,"11-2, 3-7","Audrey, Phillip",85,"Hot, sunny",139,2,,,,,0,0,"A dad and small kid swimming in the bottom falls at Cascadilla, left after speaking to them",I think college students are returning by the masses!
8/10/2021,9-11;11-3;6:15-8:15,"Phillip, Audrey, Phillip",88,"Humid, cloudy at first then full sun",97,3,,,,,0,0,3 college students swimming at Hmlock gorge. They happily left after I spoke with them,
8/11/2021,11-6; 8-9,Phillip,90,HOT,76,0,,,,,0,0,No violations spotted,
8/12/2021,11-3,Audrey,90,"Hot, humid, quick rain shower early",70,0,,,,,0,0,No violations,
8/13/2021,11-3,Audrey,92,"Hot. Sunny, then partly cloudy",53,0,,,,,0,0,no violations,
8/16/2021,11-3,Audrey,80,"overcast, less hot!",105,1,,,,,0,0,"woman in the bottom falls at Cascadilla, hopped out after I spoke with her",
8/17/2021,11-3,Audrey,82,"sprinkles, cloudy and humid",57,0,,,,,0,0,no violations,"Animals ruled the day. I saw a pet pig on the suspension bridge. Also saw deer, groundhogs, and a fox! "
8/18/2021,11-3,Audrey,77,sprinkles turned to real rain,22,0,,,,,0,0,no violations,The water is roaring today!
8/19/2021,12:15-3,Audrey,80,"misty, drizzle, rain",17,0,,,,,0,0,no violations,
8/20/2021,11-7,Phillip,82,Cloudy,111,2,,,,,0,0,2 students swimming in hemlock gorge,Lots of people for Cornell Move in!!
8/21/2021,11-7,Phillip,82,Cloudy with rain in early afternoon,97,0,,,,,0,0,no violations,Lots of people for Cornell Move in!!
8/22/2021,11-7,Phillip,81,Partly Sunny,90,0,,,,,0,0,no violations,One kid fell off his skateboard in the parking garage. Had to deploy some WFA skills
8/23/2021,"11-3pm, 3-7","euna, Hannah",81,some sun but some rain showers,132,2,,,,,0,0,two kids past the railing at hemlock gorge,Nothing notable happened today.
8/24/2021,"11-3pm, ","Phillip, Hannah",83,Sunny,94,4,,,,,0,0,A group of 4 swimming in Risley gorge,Nothing notable happened today.
8/25/2021,3-7,Hannah,90,hot and humid,65,0,,,,,0,0,no violations,nothing notable happened today.
8/26/2021,"11-3, 3-7","Audrey, Hannah",89,mostly cloudy,143,0,,,,,0,0,no violations,nothing notable happened today.
8/27/2021,11-2:40;3:30-7:15,Phillip,80,Mostly cloudy w a quick shower,150,0,,,,,0,0,no violations,Lots's of ppl outside walking after classes let out this PM. Love to see it!
8/28/2021,"11-4, 4:30-7",Hannah,81,partly sunny,86,0,,,,,0,0,no violations,nothing notable happened today.
8/29/2021,11-3pm; 3PM-7PM,Euna; Phillip,84,humid and partly cloudy,164,3,,,,,0,0,1 unleashed pup and 2 people climbing the big cascadilla gorge falls,lots of poeple all over! great last day. Hope to continue again next summer!
